Graph Size,Algorithm,Total Cost,Optimal Cost,Cost Difference,CPU Time,Real Time
25,genetic_algorithm,680.0,625,55.0,11.998453999999999,12.092724084854126
30,hill_climbing,994.0,900,94.0,0.0014100000000000085,0.0014121532440185547
30,simulated_annealing,933.0,900,33.0,0.01564,0.01569390296936035
30,genetic_algorithm,980.0,900,80.0,14.170213,14.285392761230469
30,hill_climbing,956.0,900,56.0,0.0024320000000000036,0.002438068389892578
30,simulated_annealing,932.0,900,32.0,0.015658999999999992,0.01576995849609375
30,genetic_algorithm,976.0,900,76.0,14.335832,14.448544979095459
30,hill_climbing,965.0,900,65.0,0.0017499999999999877,0.0017590522766113281
30,simulated_annealing,930.0,900,30.0,0.01569699999999999,0.015781879425048828
30,genetic_algorithm,1009.0,900,109.0,14.301085,14.459051847457886
30,hill_climbing,952.0,900,52.0,0.002939999999999998,0.0029408931732177734
30,simulated_annealing,934.0,900,34.0,0.015603999999999993,0.015685081481933594
30,genetic_algorithm,1008.0,900,108.0,14.36054,14.584121227264404
30,hill_climbing,949.0,900,49.0,0.002374000000000015,0.0023851394653320312
30,simulated_annealing,935.0,900,35.0,0.015770000000000006,0.015870094299316406
30,genetic_algorithm,1010.0,900,110.0,14.300907,14.620514869689941
35,hill_climbing,1341.0,1225,116.0,0.0007329999999999975,0.0007472038269042969
35,simulated_annealing,1269.0,1225,44.0,0.017213000000000006,0.0172879695892334
35,genetic_algorithm,1335.0,1225,110.0,16.439798999999997,16.716081857681274
35,hill_climbing,1331.0,1225,106.0,0.001462000000000005,0.001461029052734375
35,simulated_annealing,1269.0,1225,44.0,0.017499999999999988,0.01763916015625
35,genetic_algorithm,1328.0,1225,103.0,16.375544,16.540650844573975
35,hill_climbing,1287.0,1225,62.0,0.003235999999999989,0.0032629966735839844
35,simulated_annealing,1258.0,1225,33.0,0.017414000000000013,0.017551898956298828
35,genetic_algorithm,1343.0,1225,118.0,16.457165,16.56360173225403
35,hill_climbing,1316.0,1225,91.0,0.0023219999999999907,0.002329111099243164
35,simulated_annealing,1275.0,1225,50.0,0.017237000000000002,0.017333030700683594
35,genetic_algorithm,1333.0,1225,108.0,16.481635,16.606415033340454
35,hill_climbing,1273.0,1225,48.0,0.004820999999999992,0.0048370361328125
35,simulated_annealing,1265.0,1225,40.0,0.017191000000000012,0.017248868942260742
35,genetic_algorithm,1334.0,1225,109.0,16.352811000000003,16.45856213569641
40,hill_climbing,1700.0,1600,100.0,0.0032949999999999924,0.0033941268920898438
40,simulated_annealing,1652.0,1600,52.0,0.018984,0.019150733947753906
40,genetic_algorithm,1734.0,1600,134.0,18.658802,18.811007976531982
40,hill_climbing,1682.0,1600,82.0,0.005044000000000007,0.005059242248535156
40,simulated_annealing,1666.0,1600,66.0,0.018869999999999984,0.018960237503051758
40,genetic_algorithm,1706.0,1600,106.0,18.632023,18.759331941604614
40,hill_climbing,1698.0,1600,98.0,0.0037620000000000015,0.0038347244262695312
40,simulated_annealing,1655.0,1600,55.0,0.019054000000000015,0.019221067428588867
40,genetic_algorithm,1722.0,1600,122.0,18.540975999999997,18.73991298675537
40,hill_climbing,1680.0,1600,80.0,0.0038949999999999957,0.0038957595825195312
40,simulated_annealing,1653.0,1600,53.0,0.019017999999999993,0.01919102668762207
40,genetic_algorithm,1732.0,1600,132.0,18.534146,18.762972831726074
40,hill_climbing,1719.0,1600,119.0,0.002467000000000011,0.0024678707122802734
40,simulated_annealing,1656.0,1600,56.0,0.019205,0.0195162296295166
40,genetic_algorithm,1720.0,1600,120.0,18.533413,18.714163780212402
45,hill_climbing,2105.0,2025,80.0,0.00521400000000001,0.005239009857177734
45,simulated_annealing,2087.0,2025,62.0,0.020261,0.020354032516479492
45,genetic_algorithm,2163.0,2025,138.0,20.968537,21.23685884475708
45,hill_climbing,2137.0,2025,112.0,0.005375999999999992,0.005388021469116211
45,simulated_annealing,2090.0,2025,65.0,0.020550000000000013,0.020612001419067383
45,genetic_algorithm,2159.0,2025,134.0,20.903863,21.10406994819641
45,hill_climbing,2104.0,2025,79.0,0.0072450000000000014,0.0073740482330322266
45,simulated_annealing,2089.0,2025,64.0,0.02131100000000001,0.021860122680664062
45,genetic_algorithm,2166.0,2025,141.0,20.988809,21.30110216140747
45,hill_climbing,2097.0,2025,72.0,0.007984999999999992,0.008081197738647461
45,simulated_annealing,2086.0,2025,61.0,0.020375999999999977,0.02056717872619629
45,genetic_algorithm,2179.0,2025,154.0,20.950827,21.177940845489502
45,hill_climbing,2093.0,2025,68.0,0.007856000000000002,0.007909059524536133
45,simulated_annealing,2081.0,2025,56.0,0.02021400000000001,0.020332813262939453
45,genetic_algorithm,2169.0,2025,144.0,20.707196000000003,20.901597023010254
50,hill_climbing,2600.0,2500,100.0,0.009993999999999989,0.010048866271972656
50,simulated_annealing,2573.0,2500,73.0,0.022215000000000013,0.022396087646484375
50,genetic_algorithm,2672.0,2500,172.0,23.04654,23.24756097793579
50,hill_climbing,2686.0,2500,186.0,0.0014109999999999956,0.001409769058227539
50,simulated_annealing,2569.0,2500,69.0,0.021832000000000004,0.02196192741394043
50,genetic_algorithm,2688.0,2500,188.0,22.872102,23.084386110305786
50,hill_climbing,2633.0,2500,133.0,0.006372000000000003,0.006402015686035156
50,simulated_annealing,2560.0,2500,60.0,0.021717000000000014,0.021773099899291992
50,genetic_algorithm,2670.0,2500,170.0,22.952292,23.12089514732361
50,hill_climbing,2680.0,2500,180.0,0.0023190000000000016,0.0023238658905029297
50,simulated_annealing,2578.0,2500,78.0,0.02189999999999999,0.02205801010131836
50,genetic_algorithm,2683.0,2500,183.0,22.977749000000003,23.315110206604004
50,hill_climbing,2698.0,2500,198.0,0.0009890000000000038,0.0009911060333251953
50,simulated_annealing,2574.0,2500,74.0,0.02294500000000002,0.02367377281188965
50,genetic_algorithm,2651.0,2500,151.0,23.002716,23.292448043823242
55,hill_climbing,3205.0,3025,180.0,0.002804000000000001,0.002835988998413086
